"SUID","EdgeBetweenness","interaction","name","path length","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"5746","356.59017169","pp","1352.AL014_02220 (pp) 1352.AL014_07005",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_07005",,,,,,,,,
"5747","713.93848555","pp","1352.AL014_02220 (pp) 1352.AL014_02525",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_02525",,,,,,,,,
"5748","810.43730681","pp","1352.AL014_02220 (pp) 1352.AL014_05435",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_05435",,,,,,,,,
"5749","159.57615197","pp","1352.AL014_02220 (pp) 1352.AL014_05675",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_05675",,,,,,,,,
"5750","676.65351318","pp","1352.AL014_02220 (pp) 1352.AL014_05730",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_05730",,,,,,,,,
"5751","336.83604402","pp","1352.AL014_02220 (pp) 1352.AL014_08730",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_08730",,,,,,,,,
"5752","505.43427028","pp","1352.AL014_02220 (pp) 1352.AL014_03905",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_03905",,,,,,,,,
"5753","1203.1542123","pp","1352.AL014_02220 (pp) 1352.AL014_04095",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_04095",,,,,,,,,
"5754","531.04863155","pp","1352.AL014_02220 (pp) 1352.AL014_04100",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_04100",,,,,,,,,
"5755","1609.30563601","pp","1352.AL014_02220 (pp) 1352.AL014_07535",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_07535",,,,,,,,,
"5756","1164.15676695","pp","1352.AL014_02220 (pp) 1352.AL014_07780",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_07780",,,,,,,,,
"5757","252.30750975","pp","1352.AL014_02220 (pp) 1352.AL014_07440",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_07440",,,,,,,,,
"5758","611.58757213","pp","1352.AL014_02220 (pp) 1352.AL014_08335",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_08335",,,,,,,,,
"5759","1673.430729","pp","1352.AL014_02220 (pp) 1352.AL014_09920",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_09920",,,,,,,,,
"5760","701.88664745","pp","1352.AL014_02220 (pp) 1352.AL014_08760",,"false","pp","1352.AL014_02220 (pp) 1352.AL014_08760",,,,,,,,,
