"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"29138","242.3486966905754","pp","208964.PA2444 (pp) 208964.PA5213","false","pp","208964.PA2444 (pp) 208964.PA5213","0.08",,"0.948",,,"0.075","0.955","0.094"
"29139","309.4901120409225","pp","208964.PA2444 (pp) 208964.PA4796","false","pp","208964.PA2444 (pp) 208964.PA4796","0.073",,"0.445",,,,"0.817","0.673"
"29140","426.7225034631133","pp","208964.PA2444 (pp) 208964.PA5214","false","pp","208964.PA2444 (pp) 208964.PA5214","0.073",,"0.855",,,,"0.868","0.094"
"29141","1231.8316722538418","pp","208964.PA2444 (pp) 208964.PA5379","false","pp","208964.PA2444 (pp) 208964.PA5379",,,"0.9",,,"0.063","0.907","0.087"
"29142","514.6823651323566","pp","208964.PA2444 (pp) 208964.PA4960","false","pp","208964.PA2444 (pp) 208964.PA4960",,,"0.963",,,,"0.968","0.179"
"29143","283.8632466725479","pp","208964.PA2444 (pp) 208964.PA5413","false","pp","208964.PA2444 (pp) 208964.PA5413",,,"0.963","0.117",,,"0.968","0.109"
"29144","527.0931956432051","pp","208964.PA2444 (pp) 208964.PA5420","false","pp","208964.PA2444 (pp) 208964.PA5420",,,"0.962",,,"0.059","0.965","0.088"
"29145","161.5228548951446","pp","208964.PA2444 (pp) 208964.PA4602","false","pp","208964.PA2444 (pp) 208964.PA4602",,"0.043","0.925",,,,"0.925",
"29146","872.7206244019966","pp","208964.PA2444 (pp) 208964.PA3083","false","pp","208964.PA2444 (pp) 208964.PA3083",,,"0.925","0.122",,,"0.934","0.078"
"29147","506.1974451547173","pp","208964.PA2444 (pp) 208964.PA2683","false","pp","208964.PA2444 (pp) 208964.PA2683",,,"0.9",,,,"0.904","0.081"
"29148","289.74317134217955","pp","208964.PA2444 (pp) 208964.PA5215","false","pp","208964.PA2444 (pp) 208964.PA5215","0.076",,"0.963","0.125",,,"0.969","0.094"
"29149","900.8082375144743","pp","208964.PA2444 (pp) 208964.PA3831","false","pp","208964.PA2444 (pp) 208964.PA3831",,,"0.925",,,"0.069","0.928","0.055"
"29150","538.2300213917184","pp","208964.PA2444 (pp) 208964.PA4314","false","pp","208964.PA2444 (pp) 208964.PA4314",,,"0.963",,,"0.059","0.965","0.088"
"29151","823.3729357309702","pp","208964.PA2444 (pp) 208964.PA4829","false","pp","208964.PA2444 (pp) 208964.PA4829",,"0.24","0.837",,,,"0.871","0.042"
"29152","1557.4767671057866","pp","208964.PA2444 (pp) 208964.PA4854","false","pp","208964.PA2444 (pp) 208964.PA4854","0.298",,"0.963","0.121",,"0.062","0.977","0.111"
"29153","107.34868147528283","pp","208964.PA2444 (pp) 208964.PA5415","false","pp","208964.PA2444 (pp) 208964.PA5415",,"0.042","0.925",,,,"0.925",
"29154","277.343905667039","pp","208964.PA4626 (pp) 208964.PA5353","false","pp","208964.PA4626 (pp) 208964.PA5353",,,"0.964",,,"0.061","0.965",
"29155","159.24666914435943","pp","208964.PA4626 (pp) 208964.PA5354","false","pp","208964.PA4626 (pp) 208964.PA5354",,"0.151","0.963",,,"0.061","0.968",
"29156","377.43038080392336","pp","208964.PA4626 (pp) 208964.PA5355","false","pp","208964.PA4626 (pp) 208964.PA5355",,,"0.964",,,"0.045","0.964",
