"SUID","400667.A1S_3095","EdgeBetweenness","interaction","name","pp","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"1566","","634.98485614","pp","272620.KPN_00857 (pp) 272620.KPN_02295","","false","pp","272620.KPN_00857 (pp) 272620.KPN_02295",,,"0.873",,,,"0.873",
"1567","","1604.07240943","pp","272620.KPN_00857 (pp) 272620.KPN_03644","","false","pp","272620.KPN_00857 (pp) 272620.KPN_03644",,,"0.873",,,,"0.891","0.176"
"1568","","16.99550265","pp","272620.KPN_00857 (pp) 272620.KPN_02292","","false","pp","272620.KPN_00857 (pp) 272620.KPN_02292",,"0.366","0.873",,,,"0.927","0.168"
"1569","","2062.08119361","pp","272620.KPN_00857 (pp) 272620.KPN_03212","","false","pp","272620.KPN_00857 (pp) 272620.KPN_03212",,,"0.873",,,"0.119","0.883",
"1570","","764.5627689","pp","272620.KPN_00857 (pp) 272620.KPN_03061","","false","pp","272620.KPN_00857 (pp) 272620.KPN_03061",,,"0.873",,,"0.054","0.875",
"1571","","751.25239801","pp","272620.KPN_00857 (pp) 272620.KPN_03060","","false","pp","272620.KPN_00857 (pp) 272620.KPN_03060",,,"0.873",,,"0.054","0.875",
"1572","","732.42377146","pp","272620.KPN_00857 (pp) 272620.KPN_03059","","false","pp","272620.KPN_00857 (pp) 272620.KPN_03059",,,"0.802",,,"0.054","0.805",
"1573","","853.35949224","pp","272620.KPN_00857 (pp) 272620.KPN_03058","","false","pp","272620.KPN_00857 (pp) 272620.KPN_03058",,,"0.873",,,"0.051","0.874",
"1574","","703.2760228","pp","272620.KPN_00857 (pp) 272620.KPN_03057","","false","pp","272620.KPN_00857 (pp) 272620.KPN_03057",,,"0.873",,,"0.054","0.875",
"1575","","541.57458886","pp","272620.KPN_00857 (pp) 272620.KPN_03056","","false","pp","272620.KPN_00857 (pp) 272620.KPN_03056",,,"0.965",,,"0.054","0.965",
"1576","","439.54756752","pp","272620.KPN_00857 (pp) 272620.KPN_02797","","false","pp","272620.KPN_00857 (pp) 272620.KPN_02797",,,"0.873",,,,"0.88","0.094"
"1577","","3284.15057624","pp","272620.KPN_00857 (pp) 272620.KPN_02792","","false","pp","272620.KPN_00857 (pp) 272620.KPN_02792",,,"0.952",,,"0.049","0.956","0.108"
"1578","","478.59507267","pp","272620.KPN_00857 (pp) 272620.KPN_02724","","false","pp","272620.KPN_00857 (pp) 272620.KPN_02724",,,"0.873",,,,"0.873",
"1579","","129.1905174","pp","272620.KPN_00857 (pp) 272620.KPN_01847","","false","pp","272620.KPN_00857 (pp) 272620.KPN_01847",,,"0.873",,,,"0.887","0.146"
"1580","","588.77393424","pp","272620.KPN_00857 (pp) 272620.KPN_01632","","false","pp","272620.KPN_00857 (pp) 272620.KPN_01632",,,"0.873",,,,"0.877","0.069"
"1581","","445.96629123","pp","272620.KPN_00857 (pp) 272620.KPN_02206","","false","pp","272620.KPN_00857 (pp) 272620.KPN_02206",,,"0.873",,,,"0.873",
"1582","","2001.28482861","pp","272620.KPN_00857 (pp) 272620.KPN_02160","","false","pp","272620.KPN_00857 (pp) 272620.KPN_02160",,,"0.873",,,,"0.877","0.073"
"1583","","334.1190749","pp","272620.KPN_00857 (pp) 272620.KPN_02133","","false","pp","272620.KPN_00857 (pp) 272620.KPN_02133",,,"0.952",,,,"0.954","0.089"
"1584","","4726.71020172","pp","272620.KPN_00857 (pp) 272620.KPN_01223","","false","pp","272620.KPN_00857 (pp) 272620.KPN_01223",,,"0.656",,,,"0.788","0.408"
"1585","","30.79577789","pp","272620.KPN_00857 (pp) 272620.KPN_00931","","false","pp","272620.KPN_00857 (pp) 272620.KPN_00931",,"0.36","0.873",,,,"0.923","0.132"
"1586","","635.14626564","pp","272620.KPN_00857 (pp) 272620.KPN_00858","","false","pp","272620.KPN_00857 (pp) 272620.KPN_00858","0.268","0.782","0.308",,,"0.923","0.994","0.36"
"1587","","467.37077963","pp","272620.KPN_00857 (pp) 272620.KPN_02118","","false","pp","272620.KPN_00857 (pp) 272620.KPN_02118",,,"0.965",,,,"0.97","0.175"
"1588","","515.89404074","pp","272620.KPN_00615 (pp) 272620.KPN_04225","","false","pp","272620.KPN_00615 (pp) 272620.KPN_04225",,"0.191","0.9",,,"0.044","0.916",
"1589","","500.93166773","pp","272620.KPN_00615 (pp) 272620.KPN_02660","","false","pp","272620.KPN_00615 (pp) 272620.KPN_02660",,"0.427","0.964",,,,"0.979","0.055"
"1590","","885.35867111","pp","272620.KPN_00614 (pp) 272620.KPN_01202","","false","pp","272620.KPN_00614 (pp) 272620.KPN_01202",,,"0.928",,,,"0.928",
"1591","","631.91142393","pp","272620.KPN_00614 (pp) 272620.KPN_01037","","false","pp","272620.KPN_00614 (pp) 272620.KPN_01037",,,"0.873",,,,"0.873",
"1592","","135.8681314","pp","272620.KPN_00614 (pp) 272620.KPN_00615","","false","pp","272620.KPN_00614 (pp) 272620.KPN_00615","0.808",,,,,"0.849","0.98","0.36"
"1593","","589.04030297","pp","272620.KPN_00614 (pp) 272620.KPN_02660","","false","pp","272620.KPN_00614 (pp) 272620.KPN_02660",,,"0.733",,,"0.084","0.771","0.138"
"1594","","2194.0","pp","272620.KPN_00608 (pp) 272620.KPN_00610","","false","pp","272620.KPN_00608 (pp) 272620.KPN_00610","0.32","0.5","0.873",,,"0.411","0.989","0.646"
"1595","","2194.0","pp","272620.KPN_00607 (pp) 272620.KPN_00610","","false","pp","272620.KPN_00607 (pp) 272620.KPN_00610","0.323","0.568","0.873",,,"0.417","0.989","0.584"
"1596","","2.0","pp","272620.KPN_00607 (pp) 272620.KPN_00608","","false","pp","272620.KPN_00607 (pp) 272620.KPN_00608","0.588","0.489","0.873","0.473",,"0.845","0.998","0.406"
"1597","","315.11902318","pp","272620.KPN_00601 (pp) 272620.KPN_00614","","false","pp","272620.KPN_00601 (pp) 272620.KPN_00614","0.428","0.343","0.873",,,"0.262","0.985","0.639"
"1598","","527.89796102","pp","272620.KPN_00601 (pp) 272620.KPN_00613","","false","pp","272620.KPN_00601 (pp) 272620.KPN_00613","0.289","0.443","0.873",,,"0.265","0.989","0.745"
"1599","","25.2843328","pp","272620.KPN_00601 (pp) 272620.KPN_00612","","false","pp","272620.KPN_00601 (pp) 272620.KPN_00612","0.555","0.44","0.873",,,"0.16","0.989","0.664"
"1600","","1749.93347028","pp","272620.KPN_00601 (pp) 272620.KPN_00611","","false","pp","272620.KPN_00601 (pp) 272620.KPN_00611","0.288","0.336",,,,"0.152","0.833","0.633"
"1601","","1716.18173926","pp","272620.KPN_00601 (pp) 272620.KPN_02888","","false","pp","272620.KPN_00601 (pp) 272620.KPN_02888",,,"0.873",,,,"0.899","0.24"
"1602","","2442.13964568","pp","272620.KPN_00601 (pp) 272620.KPN_00605","","false","pp","272620.KPN_00601 (pp) 272620.KPN_00605","0.296","0.499","0.873",,,"0.328","0.992","0.787"
"1603","","4388.0","pp","272620.KPN_00601 (pp) 272620.KPN_01483","","false","pp","272620.KPN_00601 (pp) 272620.KPN_01483",,"0.158","0.815",,,,"0.838",
"1604","","1677.91730405","pp","272620.KPN_00841 (pp) 272620.KPN_01029","","false","pp","272620.KPN_00841 (pp) 272620.KPN_01029","0.774",,,,,"0.068","0.822","0.221"
"1605","","959.60028664","pp","272620.KPN_00841 (pp) 272620.KPN_00914","","false","pp","272620.KPN_00841 (pp) 272620.KPN_00914","0.176",,,"0.958",,"0.078","0.965",
"1606","","2986.89796536","pp","272620.KPN_00605 (pp) 272620.KPN_04580","","false","pp","272620.KPN_00605 (pp) 272620.KPN_04580",,,"0.809",,,,"0.814","0.064"
"1607","","1160.10869914","pp","272620.KPN_00605 (pp) 272620.KPN_00662","","false","pp","272620.KPN_00605 (pp) 272620.KPN_00662",,,"0.818",,,,"0.824","0.071"
"1608","","5961.56667459","pp","272620.KPN_00605 (pp) 272620.KPN_04387","","false","pp","272620.KPN_00605 (pp) 272620.KPN_04387","0.18",,"0.653",,,"0.069","0.78","0.268"
"1609","","2787.82841951","pp","272620.KPN_00605 (pp) 272620.KPN_02888","","false","pp","272620.KPN_00605 (pp) 272620.KPN_02888",,,"0.965",,,,"0.966","0.074"
"1610","","4850.19829817","pp","272620.KPN_00605 (pp) 272620.KPN_02797","","false","pp","272620.KPN_00605 (pp) 272620.KPN_02797",,,"0.781",,,"0.044","0.796","0.103"
"1611","","1077.09802724","pp","272620.KPN_00605 (pp) 272620.KPN_00614","","false","pp","272620.KPN_00605 (pp) 272620.KPN_00614","0.876","0.772","0.9",,,"0.617","0.999","0.821"
"1612","","1561.75615963","pp","272620.KPN_00605 (pp) 272620.KPN_02688","","false","pp","272620.KPN_00605 (pp) 272620.KPN_02688",,,"0.805",,,,"0.816","0.094"
"1613","","392.23428164","pp","272620.KPN_00605 (pp) 272620.KPN_00613","","false","pp","272620.KPN_00605 (pp) 272620.KPN_00613","0.88","0.24","0.873",,,"0.617","0.999","0.87"
"1614","","26088.0","pp","272620.KPN_00605 (pp) 272620.KPN_01655","","false","pp","272620.KPN_00605 (pp) 272620.KPN_01655",,,"0.873",,,,"0.876","0.065"
"1615","","766.69659668","pp","272620.KPN_00605 (pp) 272620.KPN_00612","","false","pp","272620.KPN_00605 (pp) 272620.KPN_00612","0.907","0.595","0.9",,,"0.617","0.999","0.529"
"1616","","1925.82970957","pp","272620.KPN_00605 (pp) 272620.KPN_00611","","false","pp","272620.KPN_00605 (pp) 272620.KPN_00611","0.876","0.751",,,,"0.617","0.997","0.743"
"1617","","3246.68373135","pp","272620.KPN_00605 (pp) 272620.KPN_00610","","false","pp","272620.KPN_00605 (pp) 272620.KPN_00610","0.453","0.747",,,,"0.076","0.917","0.426"
"1618","","2650.66655377","pp","272620.KPN_00605 (pp) 272620.KPN_01254","","false","pp","272620.KPN_00605 (pp) 272620.KPN_01254","0.509",,"0.4",,,"0.049","0.78","0.307"
"1619","","2584.19686717","pp","272620.KPN_00605 (pp) 272620.KPN_01253","","false","pp","272620.KPN_00605 (pp) 272620.KPN_01253","0.509",,"0.4",,,"0.048","0.803","0.379"
"1620","","9311.18697639","pp","272620.KPN_00605 (pp) 272620.KPN_01091","","false","pp","272620.KPN_00605 (pp) 272620.KPN_01091",,,"0.771",,,"0.078","0.809","0.166"
